TT_mean,TT_SD,TT1,TT2,TT3,nem,TM_mean,TM_SD,TM1,TM2,TM3,CS_K,CS_K_SD,K1,K2,K3,D_mean,D_SD,D1,D2,D3
92,0,92.3,92.3,92.3,2,180,0.6,180.5,179.5,179.3,119,0.4,118.3,118.5,119,89,1.1,87.9,90,89
72,0.1,71.7,71.6,71.6,1,174,0.2,173.6,174,173.9,92,1.5,91,92,94,76,2.5,78,76,73
48,1,49,47,48,2,165,0.3,165,165.5,165.5,87,0.6,87,86,87,80,1.2,81,79,81
75,0,75,75,75,1,185,0.1,185,184.9,185,80,1,81,80,79,87,0.5,87.5,86.7,87.5
92,0.2,91.9,92.3,92,1,176,0.7,176.6,176.7,175.5,97,0.8,97.5,96.5,96,96,1,94.5,96.5,96
50,0.3,50,50.5,50,2,166,0,166,166,166,88,0.6,88,89,88,65,0.6,65,64,65
75,0.9,75.5,76.3,74.5,1,181,1,181.6,180,181.7,88,0.6,87,88.1,87.8,83,0.6,82,82.9,83
49,1,50,48,49,2,161,0.7,161.1,160,161.2,70,0.9,71.1,70,69.3,67,1.1,67.8,65.7,66.4
91,0.6,90.9,90,91,1,181,0.3,181,180.5,180.5,98,0,98,98,98,99,1.5,100,97,99
56,1,56,57,55,1,180,1,179,181,180,81,0.3,81,80.5,80.5,77,1.5,75.5,78.5,77
70,0.2,69.5,69.9,69.5,2,169,0.6,169.3,168.8,168.1,98,2,96.3,98.2,100.2,82,0.9,82.1,81.9,80.5
60,0.3,60.5,60.5,60,1,175,0.3,174.5,175,175,83,0.3,83,82.5,83,81,0.3,80.5,81,81
67,1.5,69,66,67,1,173,1.3,174.5,172.1,172.3,97,0.9,98.5,97.1,96.7,89,1.8,91,89,87.5
90,0.2,90.3,90.4,90.1,1,185,0.7,185.5,185.7,184.4,90,0.4,90.1,89.6,90.4,94,0.3,94,93.7,94.3
88,0.4,88.4,88.6,87.8,1,176,0.2,176.3,176.1,176.5,100,1,101,100,99,99,1.2,100,98,98
87,0.2,87.6,87.2,87.3,1,172,0.5,172.9,172.3,171.9,97,0.6,97,96,97,83,2.1,82,81,85
104,0.4,104.8,104.1,104.3,1,175,0.4,174.6,175.4,175.3,111,4.4,116,108,109,101,0.6,101,100,101
75,0.9,75,75,73.5,1,186,0.6,185.5,186.6,186.3,83,0.1,83,83.1,83.2,89,0.7,88.7,88.9,90
70,0.8,70,70.5,69,1,177,0.4,177.2,177.1,177.8,89,1.7,90.5,88.3,87.1,83,0.5,82.2,82.6,83.2
83,0.8,83.5,82,82.4,1,182,0.3,182.2,181.7,181.8,98,0.2,97.5,97.4,97.7,95,0.2,95.2,94.8,95.1
57,0.6,57,56,57,2,168,0.2,167.5,167.6,167.9,77,0.8,76.5,78,77.5,90,0.8,90,90.5,89
63,0,62.8,62.8,62.8,1,172,0.2,171.9,171.5,171.5,91,0.1,91.2,91,91,72,0.6,73,72,72
63,0.1,63.6,63.4,63.4,1,176,0.4,176,176.2,175.4,97,0.6,97,96,97,78,0.8,77.5,78.4,79.1
88,0.3,87.8,87.2,87.6,1,180,0.2,180.3,180.2,180.5,102,3.1,103,99,105,88,1.5,89,86,88
72,0.2,72.5,72.3,72.1,1,177,0.1,177.2,177,177.1,96,0.1,96,96.1,95.9,85,0.3,85,84.8,85.3
75,0.1,75.2,75.1,75.1,1,182,0.2,182.1,181.7,181.9,93,0.5,93.5,92.6,93,80,1.3,80,78.5,81
54,0.2,53.9,53.5,53.5,2,163,0.4,162.5,163.2,162.5,83,1.5,82.5,82.6,85.1,68,1.5,67.4,70,67.5
57,0.1,56.9,57,56.9,2,164,0.2,164.5,164.1,164.1,93,0.6,93,94,93,71,0.6,72,71,71
61,0.1,60.6,60.7,60.8,2,170,0.1,170.5,170.5,170.4,89,3.2,85,91,90,70,1.2,71,69,69
60,0.5,59,59.5,60,2,177,0.5,177.5,176.6,177,91,2.1,93,90,89,69,1.5,69,68,71
52,0,52.1,52.1,52.1,2,172,1,171.2,173,171.5,80,1,79,81,80,64,1,64,63,65
56,0.3,55.5,56,56,2,169,0,169,169.05,169,86,0.3,86,86.5,86,67,0.8,67,68,66.5
66,1,67,65,66,2,173,0.8,172.6,172.7,174,96,1.5,96,94,97,81,2.1,80,83,79
77,0.2,77.5,77.1,77.4,1,181,0.2,181,180.9,181.2,80,0.8,80.3,80.2,78.9,93,1,92.3,94,93.9
56,0.4,55.7,55,55.8,1,172,0.3,172,172.5,172.3,81,2,79.3,83.2,80.9,68,0.2,68,67.9,68.2
60,0.5,60,59.2,60,1,182,0.1,181.7,181.62,181.8,90,0.7,90,89.3,90.7,70,0.9,71.2,69.4,70.3
129,1.1,129.2,130.4,128.2,1,201,0.5,200.3,200.3,201.1,126,3.2,129.4,125.7,123,116,2.8,119.1,113.7,115.3
52,0,52,52,52,2,168,0.9,169.2,167.5,168.7,86,0.6,86,85,86,68,0.6,68,68,69
59,0.6,59,58,59,1,162,0.2,162.2,162.5,162.2,91,0.6,92,91,91,71,1,71,70,72
66,0.4,66.8,66,66.5,2,176,0.6,176.5,176.4,175.4,96,1.2,97,95,97,75,2,77,73.1,76
102,0.1,102.3,102.1,102.1,1,195,0.2,194.5,194.9,194.7,112,2.1,114,110,111,90,4.3,87,95.3,89
64,0.5,63.7,64,63,2,163,0.5,163.5,163,162.5,97,3.1,94,98,100,74,1.2,75,73,75
64,0.6,63.5,64.5,64.5,2,166,0.3,166.6,166.3,166,91,0.3,91,91.5,91,76,0.2,76.4,76,76
79,0.2,79.3,79.2,78.9,2,174,0.3,174.4,174.2,174.8,94,0.2,94.3,93.9,94.2,82,1.6,83,80,82.5
72,0.3,72,72.5,72.4,1,188,0.3,188,187.5,188.1,96,1,96,97,95,77,1.7,76,79,76
57,0.3,57.6,57.5,57.1,2,169,0.2,169.1,168.7,168.8,82,0.3,82.5,82,82.3,67,0.2,67,67.4,67.2
67,0.3,67.5,67,67.5,2,175,0.5,174.7,175.3,174.4,99,0.6,99.4,100,98.9,74,0.4,73.2,74,73.5
65,0.6,65,65,66,2,165,0.6,165.2,164.1,164.6,101,1.2,100,102,102,72,0.6,72,73,72
70,0.6,70,70,71,1,173,0.2,173,172.6,172.9,90,0.2,90.3,90.2,90.5,82,0.3,82.3,81.8,82.2
55,0.6,54,55.1,54.5,2,160,0.3,160,160,160.5,99,0.6,98,99,99,71,1,72,70,71
89,0.2,88.5,88.4,88.7,1,187,0.8,186.5,187.7,187.9,102,0.6,102.1,102.3,101.2,94,1.2,92.2,94.3,94.1
62,0,62,62,62,2,158,0.3,158.5,158.1,158,95,0.5,95,94.8,94,81,0.3,81,80.5,80.8
65,1.1,65,64,66.1,2,165,0.5,165.2,165,166,98,1.5,98,96,99,71,1,70,71,72
63,0.1,63,62.9,63.1,1,174,0.3,173.5,173.2,173.8,90,2.6,88.5,92.5,87.5,75,0.3,75.5,75,75.3
58,0.5,58.7,57.8,58.5,2,168,0.8,167.9,168.1,169.3,92,1.8,90,93.5,92,66,1,65.5,65,67
69,0.7,69.8,68.5,69.6,1,179,0.6,179,178,179,94,1.5,92,95,94,73,1.5,72,75,73
79,1.4,79.2,77,79.6,1,180,0.3,180,180.5,180.2,95,1.5,95,93,96,85,0.6,84,85,85
92,0.5,91,91.5,92,1,179,0.6,178,179,179,108,1.2,109,107,109,100,0.6,100,99,100
75,0,75,75,75,1,173,0.6,174,173,173,91,1.2,90,92,90,91,0.6,92,91,91
52,0.1,52.4,52.4,52.6,1,164,0.8,164.7,163.4,163.4,90,0.6,90,89,90,67,0.6,67,66,67
51,0.4,51.3,50.5,51,2,162,0.2,162,162.3,162,63,5.8,66,56,66,87,0.5,87,86,86.5
62,0.7,61,62.3,61.2,1,170,0.5,170,169,169.5,88,3.2,89,90,84,76,3.4,78.5,72,77
65,0.6,64.5,65.7,65,1,190,0.2,189.8,190,190.2,97,0.2,96.7,97,97,72,0.2,72,72.3,72
56,1.5,55,56,58,2,166,1.7,165,168,165,98,1.5,98,96,99,68,1,69,68,67
57,1.4,55.5,58.1,56,2,158,0.3,157.5,158.1,157.8,92,7.2,87,88,100,73,2.5,70,74.5,74.1
60,0.3,60,60.5,60.2,1,174,0.2,173.4,173.8,173.7,88,1,87,89,87.6,75,2.1,77,74,73
