minta,tomeg,ppm,mmol/g
1,74,0.1,0.42514864864865
2,83,0.08,0.30323855421687
3,87,0.14,0.50626896551724
4,71,0.12,0.53173521126761
5,70,0.08,0.35955428571429
6,69,0.14,0.63833913043478
7,81,0.1,0.38840740740741
8,72,0.12,0.52435
9,79,0.12,0.47788860759494
10,71,0.15,0.66466901408451
11,81,0.11,0.42724814814815
12,78,0.14,0.56468461538462
13,65,0.15,0.72602307692308
14,68,0.17,0.786525
15,71,0.17,0.75329154929577
16,68,0.23,1.06412205882353
17,64,0.24,1.1797875
18,56,0.17,0.95506607142857
19,38,0.14,1.15908947368421
20,55,0.17,0.97243090909091
21,43,0.24,1.75596279069767
