szelveny,kitettseg,foltmeret
1,1,1
1,1,23
1,1,2
1,1,23
1,1,4
1,1,2
1,1,3
1,1,24
1,1,1
1,1,2
1,1,1
1,1,1
1,1,43
1,1,34
1,1,9
1,1,2
1,1,24
1,1,7
1,1,4
1,1,1
1,1,34
1,1,7
1,1,9
1,0,1
1,0,2
1,0,1
1,0,1
1,0,24
1,0,9
1,0,24
1,0,2
1,0,4
1,0,10
1,0,4
1,0,3
1,0,3
1,1,1
1,1,1
1,1,4
1,1,29
1,1,9
1,1,8
1,1,3
1,1,17
1,1,2
1,1,6
1,1,14
1,1,2
1,1,2
1,1,9
1,1,9
1,1,3
1,0,1
1,0,2
1,0,1
1,0,2
1,0,2
1,0,1
1,0,3
1,0,1
1,0,1
1,0,1
1,0,1
1,0,2
1,0,2
1,0,3
1,0,2
1,0,2
1,0,2
1,1,3
1,1,6
1,1,1
1,1,1
1,1,21
1,1,3
1,1,6
1,1,2
1,1,4
1,1,8
1,1,16
1,1,4
1,1,8
1,1,3
1,1,26
1,1,1
1,1,1
1,1,2
1,1,1
1,1,2
1,1,41
1,1,9
1,1,5
1,1,3
1,1,3
1,1,26
1,1,3
1,1,9
1,0,4
1,0,15
1,0,30
1,0,9
1,1,3
1,1,1
1,1,1
1,1,2
1,1,1
1,1,11
1,1,3
1,1,3
1,1,11
1,1,3
1,1,30
1,1,1
1,1,8
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,51
1,1,9
1,1,9
1,1,9
1,1,2
1,1,2
1,1,21
1,1,1
1,1,1
1,1,1
1,1,6
1,1,24
1,1,2
1,1,4
1,1,2
1,1,9
1,1,27
1,1,2
1,1,27
1,1,8
1,1,8
1,1,2
1,1,12
1,1,1
1,1,1
1,1,1
1,1,1
1,1,2
1,1,9
1,1,9
1,1,3
1,1,2
1,1,2
1,1,8
1,0,77
1,0,4
1,0,1
1,0,1
1,0,1
1,0,1
1,0,14
1,0,31
1,0,25
1,1,1
1,1,1
1,1,1
1,1,1
1,1,34
1,1,5
1,1,1
1,1,5
1,1,12
1,1,25
1,1,8
1,1,6
1,1,20
1,1,17
1,1,9
1,1,30
1,1,5
1,1,3
1,1,1
1,1,23
1,1,4
1,1,11
1,1,3
1,1,5
1,1,2
1,1,15
1,1,3
1,1,1
1,1,2
1,1,1
1,1,6
1,1,1
1,1,27
1,1,9
1,1,3
1,1,49
1,1,44
1,1,5
1,1,1
1,1,2
1,1,1
1,1,1
1,1,24
1,1,5
1,1,2
1,1,3
1,1,3
1,1,1
1,1,1
1,1,1
1,1,6
1,1,1
1,1,1
1,1,4
1,1,7
1,1,9
1,1,9
1,1,3
1,1,31
1,1,14
1,1,85
1,1,9
1,1,9
1,1,27
1,1,1
1,1,4
1,1,1
1,1,2
1,1,4
1,1,2
1,1,8
1,1,31
1,1,9
1,0,5
1,0,7
1,0,12
1,0,1
1,0,9
1,0,9
1,0,2
1,0,4
1,0,2
1,0,2
1,0,1
1,0,8
1,0,17
1,0,3
1,0,15
1,1,11
1,1,6
1,1,1
1,1,1
1,1,24
1,1,6
1,1,9
1,1,4
1,1,17
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,2
1,1,3
1,1,2
1,1,5
1,1,9
1,1,5
1,1,3
1,1,1
1,1,2
1,1,22
1,1,3
1,1,42
1,1,9
1,1,9
1,1,3
1,1,2
1,1,3
1,1,20
1,1,27
1,1,37
1,1,9
1,1,2
1,0,1
1,0,2
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,3
1,0,2
1,0,2
1,0,9
1,0,9
1,0,8
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,2
1,1,2
1,1,2
1,1,1
1,1,4
1,1,3
1,1,2
1,1,4
1,1,4
1,1,2
1,1,2
1,1,3
1,1,2
1,1,4
1,1,8
1,1,1
1,1,18
1,1,4
1,1,8
1,1,9
1,1,8
1,1,9
1,1,6
1,1,18
1,1,22
1,1,3
1,1,22
1,1,3
1,1,4
1,1,3
1,1,3
1,1,9
1,1,4
1,1,5
1,1,2
1,1,1
1,1,4
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,2
1,1,4
1,1,2
1,1,12
1,1,1
1,1,7
1,1,1
1,1,1
1,1,4
1,1,1
1,1,2
1,1,10
1,1,2
1,1,2
1,1,3
1,1,20
1,1,3
1,1,20
1,1,1
1,1,1
1,1,1
1,1,1
1,1,7
1,1,1
1,1,2
1,1,6
1,1,5
1,1,8
1,1,3
1,1,1
1,1,1
1,1,1
1,1,1
1,1,2
1,1,3
1,1,2
1,1,2
1,1,2
1,1,2
1,1,11
1,1,5
1,1,3
1,1,25
1,1,1
1,1,1
1,1,4
1,1,28
1,1,48
1,1,34
